time,displacement,velocity,acceleration
1.33,1.0037944409526423,0.7383953312642619,-1.402068177440177
1.34,1.0111079269729202,0.7242657538657128,-1.4237399206178378
1.35,1.018279044406057,0.7099226947554891,-1.4447631017965326
1.36,1.0253056910034406,0.6953726815349263,-1.4651293805962324
1.37,1.0321858302038889,0.6806223235269357,-1.484830753632627
1.3800000000000001,1.03891749193396,0.6656783083897828,-1.5038595577440608
1.3900000000000001,1.0454987733742445,0.650547398699378,-1.5222084730616494
1.4000000000000001,1.0519278396913265,0.6352364285016574,-1.5398705259213528
1.41,1.0582029247351283,0.6197522998366359,-1.5568390916168586
1.42,1.0643223317013586,0.6041019792357337,-1.5731078969921841
1.43,1.070284433758808,0.5882924941939811,-1.5886710228729854
1.44,1.0760876746412482,0.5723309296187213,-1.603522906335634
1.45,1.081730569203706,0.5562244242564374,-1.617658342813171
1.46,1.0872117039429041,0.5399801670993382,-1.6310724880373382
1.47,1.092529737481673,0.5236053937733471,-1.6437608598159574
1.48,1.097683401017157,0.5071073829091433,-1.65571933964498
1.49,1.1026714987326525,0.4904934524979105,-1.6669441741546178
1.5,1.1074929081729343,0.47377095623345794,-1.6774319763890313
1.51,1.1121465805829418,0.456947279842377,-1.68717972691912
1.52,1.116631541209714,0.44002983740390694,-1.696184774788036
1.53,1.1209468895674792,0.4230260676611831,-1.7044448382891073
1.54,1.1250917996658196,0.4059434303255446,-1.7119580055759371
1.55,1.1290655202008533,0.3887894023755809,-1.7187227351045054
1.56,1.1328673747093858,0.37157147435259813,-1.7247378559071898
1.57,1.136496761686006,0.35429714665418527,-1.7300025676986646
1.58,1.1399531546631154,0.3369739258275621,-1.7345164408137443
1.59,1.1432361022538964,0.31960932086438837,-1.7382794159772796
1.6,1.1463452281582431,0.3022108394987131,-1.7412918039063043
1.61,1.1492802311316945,0.28478598450973985,-1.7435542847446914
1.62,1.152040884917426,0.2673422500310818,-1.7450679073306599
1.6300000000000001,1.154627038141373,0.24988711786817572,-1.7458340882975256
1.6400000000000001,1.157038614170577,0.2324280538255202,-1.7458546110081938
1.6500000000000001,1.1592756109348588,0.21497250404539814,-1.7451316243239132
1.6600000000000001,1.1613381007119445,0.19752789135973764,-1.7436676412079395
1.67,1.1632262298761822,0.18010161165675911,-1.7414655371647716
1.68,1.1649402186110056,0.1627010302640488,-1.7385285485157382
1.69,1.166480360585318,0.14533347834969146,-1.7348602705117486
1.7,1.1678470225939837,0.12800624934308583,-1.730464655284114
1.71,1.169040644162634,0.11072659537705763,-1.725346009634407
1.72,1.1700617371170066,0.09350172375287456,-1.7195089926643816
1.73,1.1709108851170558,0.07633879342975704,-1.7129586132470735
1.74,1.1715887431560885,0.05924491154046733,-1.7057002273402384
1.75,1.1720960370251918,0.04222712993454746,-1.6977395351433717
1.76,1.1724335627432378,0.02529244175076357,-1.6890825780996146
1.77,1.1726021859527658,0.008447778020301139,-1.6797357357439084
1.78,1.1726028412820564,-0.008299995697758553,-1.6697057223988443
1.79,1.1724365316737277,-0.024944082647165168,-1.6589995837196994
